"","yield","row","col","rep","mainplot","G","N","n_amount"
"1",4520,4,1,"rep1","mp1","A","N1",0
"2",5598,2,2,"rep1","mp2","A","N2",60
"3",6192,1,3,"rep1","mp3","A","N4",120
"4",8542,2,4,"rep1","mp4","A","N6",180
"5",5806,2,5,"rep1","mp5","A","N3",90
"6",7470,1,6,"rep1","mp6","A","N5",150
"7",4034,2,1,"rep1","mp1","B","N1",0
"8",6682,4,2,"rep1","mp2","B","N2",60
"9",6869,3,3,"rep1","mp3","B","N4",120
"10",6318,4,4,"rep1","mp4","B","N6",180
"11",5738,1,5,"rep1","mp5","B","N3",90
"12",7862,3,6,"rep1","mp6","B","N5",150
"13",3554,1,1,"rep1","mp1","C","N1",0
"14",4948,3,2,"rep1","mp2","C","N2",60
"15",5522,4,3,"rep1","mp3","C","N4",120
"16",5684,1,4,"rep1","mp4","C","N6",180
"17",5974,3,5,"rep1","mp5","C","N3",90
"18",7260,4,6,"rep1","mp6","C","N5",150
"19",4216,3,1,"rep1","mp1","D","N1",0
"20",5372,1,2,"rep1","mp2","D","N2",60
"21",2504,2,3,"rep1","mp3","D","N4",120
"22",2338,3,4,"rep1","mp4","D","N6",180
"23",4276,4,5,"rep1","mp5","D","N3",90
"24",1594,2,6,"rep1","mp6","D","N5",150
"25",6600,2,7,"rep2","mp7","A","N3",90
"26",5256,4,8,"rep2","mp8","A","N2",60
"27",7578,4,9,"rep2","mp9","A","N5",150
"28",4208,3,10,"rep2","mp10","A","N1",0
"29",9012,2,11,"rep2","mp11","A","N6",180
"30",7146,1,12,"rep2","mp12","A","N4",120
"31",6307,1,7,"rep2","mp7","B","N3",90
"32",5948,1,8,"rep2","mp8","B","N2",60
"33",6324,1,9,"rep2","mp9","B","N5",150
"34",5044,4,10,"rep2","mp10","B","N1",0
"35",7567,4,11,"rep2","mp11","B","N6",180
"36",7072,4,12,"rep2","mp12","B","N4",120
"37",5904,4,7,"rep2","mp7","C","N3",90
"38",6094,3,8,"rep2","mp8","C","N2",60
"39",6392,2,9,"rep2","mp9","C","N5",150
"40",2674,2,10,"rep2","mp10","C","N1",0
"41",7302,1,11,"rep2","mp11","C","N6",180
"42",5970,2,12,"rep2","mp12","C","N4",120
"43",5924,3,7,"rep2","mp7","D","N3",90
"44",4694,2,8,"rep2","mp8","D","N2",60
"45",1690,3,9,"rep2","mp9","D","N5",150
"46",4212,1,10,"rep2","mp10","D","N1",0
"47",1560,3,11,"rep2","mp11","D","N6",180
"48",5126,3,12,"rep2","mp12","D","N4",120
"49",6860,1,13,"rep3","mp13","A","N4",120
"50",8548,1,14,"rep3","mp14","A","N6",180
"51",6794,4,15,"rep3","mp15","A","N3",90
"52",4030,1,16,"rep3","mp16","A","N1",0
"53",6162,1,17,"rep3","mp17","A","N2",60
"54",7642,2,18,"rep3","mp18","A","N5",150
"55",6744,3,13,"rep3","mp13","B","N4",120
"56",5736,2,14,"rep3","mp14","B","N6",180
"57",6732,3,15,"rep3","mp15","B","N3",90
"58",3840,4,16,"rep3","mp16","B","N1",0
"59",5316,3,17,"rep3","mp17","B","N2",60
"60",6666,4,18,"rep3","mp18","B","N5",150
"61",6550,4,13,"rep3","mp13","C","N4",120
"62",5210,4,14,"rep3","mp14","C","N6",180
"63",6104,2,15,"rep3","mp15","C","N3",90
"64",3304,2,16,"rep3","mp16","C","N1",0
"65",5286,4,17,"rep3","mp17","C","N2",60
"66",6410,1,18,"rep3","mp18","C","N5",150
"67",3818,2,13,"rep3","mp13","D","N4",120
"68",1744,3,14,"rep3","mp14","D","N6",180
"69",4236,1,15,"rep3","mp15","D","N3",90
"70",5016,3,16,"rep3","mp16","D","N1",0
"71",4382,2,17,"rep3","mp17","D","N2",60
"72",2856,3,18,"rep3","mp18","D","N5",150
