"","count","spray"
"1",10,"A"
"2",7,"A"
"3",20,"A"
"4",14,"A"
"5",14,"A"
"6",12,"A"
"7",10,"A"
"8",23,"A"
"9",17,"A"
"10",20,"A"
"11",14,"A"
"12",13,"A"
"13",11,"B"
"14",17,"B"
"15",21,"B"
"16",11,"B"
"17",16,"B"
"18",14,"B"
"19",17,"B"
"20",17,"B"
"21",19,"B"
"22",21,"B"
"23",7,"B"
"24",13,"B"
"25",0,"C"
"26",1,"C"
"27",7,"C"
"28",2,"C"
"29",3,"C"
"30",1,"C"
"31",2,"C"
"32",1,"C"
"33",3,"C"
"34",0,"C"
"35",1,"C"
"36",4,"C"
"37",11,"F"
"38",9,"F"
"39",15,"F"
"40",22,"F"
"41",15,"F"
"42",16,"F"
"43",13,"F"
"44",10,"F"
"45",26,"F"
"46",26,"F"
"47",24,"F"
"48",13,"F"
